Tue Oct 24 15:58:41 EDT 2023 : Peer 1001 has the optimistically unchoked neighbor 0
Tue Oct 24 15:58:41 EDT 2023 : Server: 1001 Started on Port Number :6008
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:47 EDT 2023 : Peer 1001 received have message from 1002
Tue Oct 24 15:58:51 EDT 2023 : Peer 1001 has the preferred neighbors [1002]
